,name,in_out,energy
0,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acalymma vittatum/00000000739.jpg,0,"tensor([[19.2191]], device='cuda:0')"
1,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acalymma vittatum/00000000983.jpg,0,"tensor([[5.4460]], device='cuda:0')"
2,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acalymma vittatum/00000001230.jpg,0,"tensor([[22.3886]], device='cuda:0')"
3,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acalymma vittatum/00000001285.jpg,0,"tensor([[8.9419]], device='cuda:0')"
4,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acalymma vittatum/IMG_20210810_113044.jpg,0,"tensor([[2.8045]], device='cuda:0')"
5,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanalonia conica/00000003287.jpg,0,"tensor([[7.9758]], device='cuda:0')"
6,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala declivis/00000001071.jpg,0,"tensor([[6.7994]], device='cuda:0')"
7,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala declivis/00000001549.jpg,0,"tensor([[10.0879]], device='cuda:0')"
8,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala declivis/00000004260.jpg,0,"tensor([[3.3250]], device='cuda:0')"
9,/work/mech-ai/Mojdeh/iNat_Project-mini-Insecta-2021/Data/in-distribution/iNat_ISU142/OOD_valid50/Acanthocephala declivis/00000004976.jpg,0,"tensor([[17.2306]], device='cuda:0')"
