,checkpointsAcc,OODalg,AUROC,AUPR,FPR95
0,80.09,MSP,12.0,32.5,0.974993310141825
1,83.93,MSP,8.84,31.95,0.9868611185442868
2,85.93,MSP,8.49,31.89,0.9857773615199358
3,87.19,MSP,7.92,31.77,0.9369012576933369
4,87.93,MSP,6.52,31.56,0.9164035322451164
5,88.4,MSP,6.53,31.58,0.9238560342520739
6,89.41,MSP,5.39,31.4,0.9725983409151726
7,89.7,MSP,7.91,31.76,0.9913299438051913
8,89.6,MSP,7.27,31.66,0.9579475515119079
9,90.23,MSP,5.5,31.42,0.9831415573989831
10,90.57,MSP,5.11,31.33,0.9928284720363928
11,91.78,MSP,4.95,31.32,0.974029970564624
12,93.88,MSP,6.38,31.4,0.9431629649451432
13,94.5,MSP,5.45,31.26,0.984011238961734
14,94.63,MSP,4.97,31.19,0.8056462402997057
15,80.09,EBM,88.55,83.59,0.010181964142360183
16,83.93,EBM,89.26,84.07,0.06427615734546428
17,85.93,EBM,87.36,82.62,0.21744715012041746
18,87.19,EBM,87.39,82.73,0.22526090446882527
19,87.93,EBM,83.01,78.06,0.4407546160021408
20,88.4,EBM,84.39,79.07,0.02140754616002141
21,89.41,EBM,85.34,80.89,0.10563286058335564
22,89.7,EBM,62.39,65.2,0.011091784854161091
23,89.6,EBM,61.91,64.22,0.4490634198554991
24,90.23,EBM,64.52,65.91,0.11668450628846669
25,90.57,EBM,48.36,54.13,0.8611854428686112
26,91.78,EBM,31.3,45.18,0.9483676746052984
27,93.88,EBM,44.96,57.94,0.9807465881723307
28,94.5,EBM,41.71,55.99,0.8995584693604496
29,94.63,EBM,41.08,55.51,0.00503077334760503
30,80.09,MAH,55.51,49.63,0.41545357238426545
31,83.93,MAH,48.93,45.04,0.6620149852823121
32,85.93,MAH,54.33,48.7,0.03437249130318437
33,87.19,MAH,50.76,46.29,0.5906341985549907
34,87.93,MAH,47.01,44.04,0.6921461065025422
35,88.4,MAH,67.21,56.05,0.4041878512175542
36,89.41,MAH,68.7,58.41,0.15061546695210062
37,89.7,MAH,61.8,53.11,0.5292748193738293
38,89.6,MAH,61.96,52.31,0.6304923735616805
39,90.23,MAH,63.9,53.6,0.47833823922932833
40,90.57,MAH,59.17,51.6,0.5335429488894835
41,91.78,MAH,49.9,45.09,0.6499331014182499
42,93.88,MAH,57.33,50.07,0.38381054321648383
43,94.5,MAH,53.62,48.98,0.5232271875836232
44,94.63,MAH,60.92,51.24,0.46198822584961197
